State,City,Measure,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Year
Louisiana,New Orleans ,Average Precipitation,5.15,5.3,4.55,4.61,4.63,8.06,5.93,5.98,4.97,3.54,4.49,5.24,62.45
Maine,Portland ,Average High,31.2,34.6,42.1,53.3,63.5,73.2,78.8,77.7,70,58.7,48,37.3,55.8
Maine,Portland ,Average Low,13.4,16.4,24.9,34.7,44.2,53.6,59.4,58.2,50.3,38.9,30.9,20.4,37.2
Maine,Portland ,Average Precipitation,3.38,3.25,4.24,4.32,4.01,3.79,3.61,3.14,3.69,4.87,4.93,4.02,47.25
Maryland,Baltimore ,Average High,42.4,45.7,53.9,65.5,75.2,85,89,87,80.3,68.4,57.7,46.1,66.4
Maryland,Baltimore ,Average Low,29.2,31.4,38.8,47.6,56.9,67.1,72.5,70.9,63.8,51.8,42.9,32.8,50.5
Maryland,Baltimore ,Average Precipitation,2.92,2.6,3.86,3.22,3.49,3.27,4.62,3.39,4.09,3.05,2.97,3.41,40.89
Massachusetts,Boston ,Average High,35.8,38.7,45.4,55.6,66,75.9,81.4,79.6,72.4,61.4,51.5,41.2,58.8
Massachusetts,Boston ,Average Low,22.2,24.7,31.1,40.6,49.9,59.5,65.4,64.6,57.4,46.5,38,28.2,44.1
Massachusetts,Boston ,Average Precipitation,3.36,3.25,4.32,3.74,3.49,3.68,3.43,3.35,3.44,3.94,3.99,3.78,43.77
Massachusetts,Plymouth,Average High,38.1,38.9,46.1,55.9,66.4,75.6,80.6,78.7,71.9,62.7,52.3,41.7,59.1
Massachusetts,Plymouth,Average Low,20.1,20.3,27.8,36.5,45.8,55.4,61.6,60.5,53.5,43.5,34.6,24.4,40.3
Massachusetts,Plymouth,Average Precipitation,4.1,3.9,4.6,4.3,3.6,3.4,3.2,3.8,3.9,3.9,4.4,4.3,47.4
Michigan,Ann Arbor ,Minnesota,31.2,34.9,45.9,59.6,70.6,79.7,83.2,81.2,74.2,61.4,47.9,34.9,58.8
Michigan,Ann Arbor ,Average Low,17.9,19.9,27.2,38,48.2,57.9,62.1,61,53.4,42.4,33,23,40.4
Michigan,Ann Arbor ,Average Precipitation,2.59,2.4,2.66,3.25,3.42,3.68,3.61,3.69,3.45,2.83,3.09,2.89,37.55
Michigan,Detroit ,Average High,32,35.2,45.8,59.1,69.9,79.3,83.4,81.4,74,61.6,48.8,36.1,59
Michigan,Detroit ,Average Low,19.1,21,28.6,39.4,49.4,59.5,63.9,62.6,54.7,43.3,34.3,24.1,41.8
Michigan,Detroit ,Average Precipitation,1.96,2.02,2.28,2.9,3.38,3.52,3.37,3,3.27,2.52,2.79,2.46,33.47
Michigan,Grand Rapids ,Average High,30.7,33.7,44.4,58.2,69.5,79,82.8,80.6,73,60.3,47.3,34.8,57.9
Michigan,Grand Rapids ,Average Low,18.1,19.9,26.9,37.7,47.8,57.7,62.2,61,52.7,41.8,33,23.5,40.2
Michigan,Grand Rapids ,Average Precipitation,2.09,1.79,2.37,3.35,3.98,3.77,3.78,3.59,4.28,3.26,3.51,2.5,38.27
Minnesota,Minneapolis ,Average High,23.7,28.9,41.3,57.8,69.4,78.8,83.4,80.5,71.7,58,41.2,27.1,55.3
Minnesota,Minneapolis ,Average Low,7.5,12.8,24.3,37.2,48.9,58.8,64.1,61.8,52.4,39.7,26.2,12.3,37.3
Minnesota,Minneapolis ,Average Precipitation,0.9,0.77,1.89,2.66,3.36,4.25,4.04,4.3,3.08,2.43,1.77,1.16,30.61
Minnesota,St. Paul ,Average High,26,31,43,58,71,80,85,82,73,59,42,29,57
Minnesota,St. Paul ,Average Low,7,12,24,38,50,59,64,62,53,41,27,13,38
Minnesota,St. Paul ,Average Precipitation,0.79,0.67,1.54,2.87,3.7,4.21,4.41,4.76,3.27,2.91,1.81,1.1,32.04
Mississippi,Jackson ,Average High,56.1,60.5,68.5,75.9,83.1,89.5,91.6,91.6,86.7,77.2,67.4,58.2,75.6
Mississippi,Jackson ,Average Low,35.3,38.5,45.3,52.2,61.6,68.6,71.6,70.9,64.6,53.1,44,37.3,53.7
Mississippi,Jackson ,Average Precipitation,4.97,4.76,5.04,4.96,4.38,4.12,4.81,4.24,3.03,3.92,4.76,5.15,54.14
Missouri,Branson,Average High,44,50,59,69,77,85,90,89,81,72,58,47,68
Missouri,Branson,Average Low,21,25,33,41,50,59,64,62,55,43,34,25,43
Missouri,Branson,Average Precipitation,2.3,2.44,3.94,3.99,4.29,4.59,3.51,3.09,4.19,2.98,4.63,3.14,43.09
Missouri,Kansas City ,Average High,39.5,44.6,56.2,66.7,75.9,85,90.1,88.6,80,67.8,54.2,41.8,65.9
Missouri,Kansas City ,Average Low,22.4,26.3,35.8,46.6,57.1,66.7,72,70.2,60.5,48.9,36.6,25.6,47.4
Missouri,Kansas City ,Average Precipitation,1.14,1.48,2.15,3.71,5.13,5.52,3.97,4.39,4.16,3.52,2.14,1.75,39.06
Missouri,St. Louis ,Average High,39.9,45,55.9,67.4,76.3,85.1,89.1,87.9,80.2,68.5,55.5,42.5,66.2
Missouri,St. Louis ,Average Low,23.7,27.6,36.6,47.2,57.2,66.8,71,69.4,60.6,49,38.1,26.9,47.9
Missouri,St. Louis ,Average Precipitation,2.4,2.24,3.32,3.69,4.72,4.28,4.11,2.99,3.13,3.33,3.91,2.84,40.96
Montana,Billings ,Average High,36.4,40.2,48.6,57.6,67.5,77.2,86.8,85.7,73.1,59.4,45.3,35.2,59.4
Montana,Billings ,Average Low,17.8,20.6,26.9,34.7,43.6,52.1,58.8,57.3,47.5,37.1,26.3,17.8,36.7
Montana,Billings ,Average Precipitation,0.48,0.48,1.06,1.66,2.18,2.12,1.32,0.75,1.3,1.18,0.63,0.5,13.66
Nebraska,Lincoln ,Average High,35.4,40.1,52.3,64.3,74.2,84.2,89,86.8,78.7,65.8,50.3,37.2,63.2
Nebraska,Lincoln ,Average Low,13.8,18,27.9,38.8,50.5,60.9,66.1,63.8,53.4,40.6,27.6,16.4,39.8
Nebraska,Lincoln ,Average Precipitation,0.64,0.77,1.93,2.71,4.29,4.35,3.4,3.49,3.02,1.97,1.43,0.95,28.95
Nebraska,Omaha ,Average High,33.4,38.1,50.9,63.7,73.8,83.2,87.3,85.1,77.6,64.7,48.9,35.3,61.9
Nebraska,Omaha ,Average Low,13.6,18.1,28.1,39.8,50.9,61,66.2,64,53.9,41.6,28.8,16.7,40.3
Nebraska,Omaha ,Average Precipitation,0.72,0.85,1.99,2.96,4.76,4.18,3.83,3.82,2.68,2.15,1.64,1.04,30.62
Nevada,Las Vegas ,Average High,58,62.5,70.3,78.3,88.9,98.7,104.2,102,94,80.6,66.3,56.6,80.1
Nevada,Las Vegas ,Average Low,39.4,43.4,49.4,56.1,65.8,74.6,80.9,79.3,71.1,58.5,46.5,38.7,58.7
Nevada,Las Vegas ,Average Precipitation,0.54,0.76,0.44,0.15,0.12,0.07,0.4,0.33,0.25,0.27,0.36,0.5,4.19
Nevada,Reno ,Average High,45.7,51,57.9,63.9,73.5,83.3,92.2,90.6,82,69.2,55,45.6,67.6
Nevada,Reno ,Average Low,25.4,28.9,33.5,37.8,45.5,52,57.7,55.8,48.5,38.8,30.5,25,40
Nevada,Reno ,Average Precipitation,1.03,1.02,0.76,0.47,0.49,0.51,0.18,0.23,0.35,0.51,0.82,1.03,7.4
New Hampshire,Manchester ,Average High,33.1,36.9,44.9,57.6,68.7,77.5,82.4,81,72.6,61,49.8,38.2,58.7
New Hampshire,Manchester ,Average Low,15.7,19,27.2,37,47.5,56.6,62.7,60.9,52.5,40.6,33.1,22.5,39.7
New Hampshire,Manchester ,Average Precipitation,3.02,2.78,4.33,3.86,4.05,3.79,3.8,3.63,3.81,4.16,4.07,3.28,44.58
New Jersey,Atlantic City,Average High,41.8,43.5,49.6,57.6,66.6,75.7,81.3,80.2,74.8,65,55.8,46.3,61.6
New Jersey,Atlantic City,Average Low,29.2,30.9,36.9,45.5,54.5,64.3,70,69.7,63.5,52.5,42.9,33.5,49.5
New Jersey,Atlantic City,Average Precipitation,3.08,2.87,4.02,3.39,3.22,2.68,3.31,3.92,3.08,3.47,3.35,3.62,40.01
New Jersey,Newark ,Average High,38.8,42.3,50.7,62,72.1,81.5,86,84,76.7,65.3,54.6,43.5,63.1
New Jersey,Newark ,Average Low,24.5,26.9,33.6,43.7,53.3,63.3,68.7,67.5,59.7,48,39,29.6,46.5
New Jersey,Newark ,Average Precipitation,3.53,2.88,4.18,4.2,4.09,4.02,4.76,3.7,3.82,3.6,3.65,3.8,46.24
New Mexico,Albuquerque ,Average High,46.8,52.5,60.5,69,78.8,88.3,90.1,87.2,80.7,69,55.8,46.1,68.8
New Mexico,Albuquerque ,Average Low,26.1,30.3,35.7,43,52.5,61.6,66.4,65.1,57.9,46.1,34.1,26.5,45.5
New Mexico,Albuquerque ,Average Precipitation,0.38,0.48,0.57,0.61,0.5,0.66,1.5,1.58,1.08,1.02,0.57,0.5,9.45
New Mexico,Santa Fe ,Average High,43.5,48.2,55.9,64.7,74.2,83.5,85.9,83.4,77.7,66.5,53.1,43.2,65
New Mexico,Santa Fe ,Average Low,17.5,21.5,26.1,32.3,41,49.4,54.4,53.3,46.5,35.5,24.6,17.4,35
New Mexico,Santa Fe ,Average Precipitation,0.6,0.53,0.94,0.77,0.94,1.29,2.33,2.23,1.54,1.33,0.85,0.83,14.18
New York,Buffalo ,Average High,31.2,33.3,42,55,66.5,75.3,79.9,78.4,71.1,59,47.6,36.1,56.4
New York,Buffalo ,Average Low,18.5,19.2,26,36.8,47.4,57.3,62.3,60.8,53.4,42.7,33.9,24.1,40.3
New York,Buffalo ,Average Precipitation,3.18,2.49,2.87,3.01,3.46,3.66,3.23,3.26,3.9,3.52,4.01,3.89,40.48
New York,New York City,Average High,38.3,41.6,49.7,61.2,70.8,79.3,84.1,82.6,75.2,63.8,53.8,43,62
New York,New York City,Average Low,26.9,28.9,35.2,44.8,54,63.6,68.8,67.8,60.8,50,41.6,32,48
New York,New York City,Average Precipitation,3.65,3.09,4.36,4.5,4.19,4.41,4.6,4.44,4.28,4.4,4.02,4,49.94
New York,Niagara Falls ,Average High,32.1,34.1,42.5,55.7,67.7,76.5,81.1,79.4,72.1,60.2,48.2,36.8,57.3
New York,Niagara Falls ,Average Low,15.4,16.7,23.9,34.6,45.2,55.6,60.8,58.9,51,40.2,31.3,21.8,38.1
New York,Niagara Falls ,Average Precipitation,2.56,2.19,2.41,2.69,3.07,2.93,3.24,3.02,3.35,2.88,3.4,3.23,34.97
New York,Rochester ,Average High,31.7,34.1,42.8,56,67.6,76.6,81,79.1,71.6,59.6,48,36.5,57.2
New York,Rochester ,Average Low,17.6,18.6,25.8,36.6,46.3,55.9,60.7,59.5,52,41.5,33,23.5,39.3
New York,Rochester ,Average Precipitation,2.41,1.95,2.5,2.73,2.87,3.34,3.33,3.47,3.38,2.72,2.94,2.63,34.27
North Carolina,Asheville,Average High,47.4,51,58.7,67.7,74.8,81.3,84,82.9,76.9,68.1,58.8,49.5,66.8
North Carolina,Asheville,Average Low,26.7,29.7,35.5,42.8,51.4,59.6,63.7,62.9,55.8,44.6,35.8,29.3,44.8
North Carolina,Asheville,Average Precipitation,3.67,3.76,3.83,3.33,3.66,4.65,4.31,4.4,3.81,2.91,3.65,3.59,45.57
North Carolina,Charlotte ,Average High,50.7,55,63.1,71.9,78.9,86,89,87.5,81.3,71.8,62.4,52.9,70.9
North Carolina,Charlotte ,Average Low,29.6,32.7,39.3,46.9,55.8,64.5,68.1,67.2,60.4,48.8,39.2,31.9,48.7
North Carolina,Charlotte ,Average Precipitation,3.41,3.32,4.01,3.04,3.18,3.74,3.68,4.22,3.24,3.4,3.14,3.25,41.63
North Carolina,Durham ,Average High,49.2,53.4,62.1,71.3,78.6,85,88.6,86.8,81,71.4,62,52.7,70.2
North Carolina,Durham ,Average Low,27.8,29.5,37,45.8,55.6,65.4,70.1,67.9,60.3,46.6,37.4,30.4,47.8
North Carolina,Durham ,Average Precipitation,4.44,3.7,4.68,3.41,4.59,4.01,3.95,4.38,4.36,3.71,3.38,3.43,48.04
North Carolina,Greensboro ,Average High,48.3,52.5,60.9,70.2,77.5,84.8,87.9,86.3,79.7,70.3,60.8,50.7,69.2
North Carolina,Greensboro ,Average Low,29.5,32.4,39.1,47.3,56.1,65.3,69.1,68,60.6,48.8,39.6,32,49.1
North Carolina,Greensboro ,Average Precipitation,3.06,2.96,3.73,3.57,3.38,3.73,4.48,3.88,4.19,3.13,3.11,2.98,42.2
North Carolina,Raleigh ,Average High,50.9,55.2,63.4,72.4,79.6,87.1,90.2,88.4,82.1,72.6,63.6,53.6,71.7
North Carolina,Raleigh ,Average Low,31,33.8,39.9,48,56.5,65.8,69.9,68.6,61.7,49.8,40.8,33.3,50
North Carolina,Raleigh ,Average Precipitation,3.5,3.23,4.11,2.92,3.27,3.52,4.73,4.26,4.36,3.25,3.12,3.07,43.34
North Carolina,Winston-Salem ,Average High,48.9,53.2,61.2,70.6,78.4,85,88.6,86.4,79.9,70.8,61.7,51.3,69.6
North Carolina,Winston-Salem ,Average Low,30.1,33.1,39.6,47.7,56.1,65.2,68.9,68.1,60.7,50.2,40.4,32.6,49.4
North Carolina,Winston-Salem ,Average Precipitation,3.61,3.19,4.04,3.7,3.87,4.2,5,4.87,4.19,3.41,3.35,3.47,46.9
North Dakota,Fargo ,Average High,18.4,23.7,36.3,55.8,69.3,77.4,82.5,81.2,70.8,56,37.3,22.3,52.6
North Dakota,Fargo ,Average Low,0.1,5.6,19.4,32.7,44.9,55,59.5,57.3,47.4,35.1,20.3,5.9,31.9
North Dakota,Fargo ,Average Precipitation,0.7,0.61,1.3,1.36,2.81,3.9,2.79,2.56,2.57,2.15,1,0.83,22.58
Ohio,Cincinnati ,Average High,38.7,42.9,53.2,64.7,73.7,82.1,85.6,84.9,78.1,66.2,54,41.6,63.9
Ohio,Cincinnati ,Average Low,23,26,34,43.7,53.2,62,66.1,64.8,57,45.5,36.2,26.6,44.9
Ohio,Cincinnati ,Average Precipitation,3,2.81,3.96,3.89,4.93,4.03,3.76,3.41,2.63,3.3,3.43,3.37,42.52
Ohio,Cleveland ,Average High,34.4,37.5,46.6,59.1,69.5,78.6,82.6,80.8,73.9,62.3,50.8,38.3,59.6
Ohio,Cleveland ,Average Low,21.7,23.6,30.2,40.4,50.1,59.8,64.3,63.1,56,45.4,36.9,26.4,43.3
Ohio,Cleveland ,Average Precipitation,2.72,2.34,2.93,3.49,3.66,3.43,3.46,3.51,3.81,3.07,3.62,3.1,39.14
Ohio,Columbus ,Average High,36.5,40.6,51.1,63.5,72.9,81.6,84.9,83.7,77,65.1,52.6,40.1,62.6
Ohio,Columbus ,Average Low,22.6,25,32.7,42.6,52.2,61.5,65.5,64.1,56.5,45,36.1,26.8,44.3
Ohio,Columbus ,Average Precipitation,2.73,2.25,3.02,3.4,4.17,4.01,4.79,3.32,2.84,2.61,3.2,2.97,39.31
Oklahoma,Oklahoma City ,Average High,49.7,54.6,63.4,72.3,80.2,88.1,93.9,93.4,84.7,73.4,61.5,50.6,72.2
Oklahoma,Oklahoma City ,Average Low,28.8,32.8,41,49.7,59.6,67.8,72.2,71.3,63.2,51.6,40,30.6,50.8
Oklahoma,Oklahoma City ,Average Precipitation,1.39,1.58,3.06,3.07,4.65,4.93,2.93,3.28,4.06,3.71,1.98,1.88,36.52
Oklahoma,Tulsa ,Average High,48,53.2,62.4,71.8,79.4,87.5,93.1,93.1,83.9,73,60.9,49.3,71.4
Oklahoma,Tulsa ,Average Low,27.5,31.3,40.1,49.3,59.1,67.7,72.7,71.3,62.1,50.6,39.6,29.6,50.2
Oklahoma,Tulsa ,Average Precipitation,1.66,1.85,3.29,3.79,5.91,4.72,3.36,2.9,4.26,3.93,2.81,2.49,40.97
Oregon,Eugene ,Average High,47.2,51.1,56.2,60.8,67,73.2,82.3,82.8,76.9,64.2,52.2,45.6,63.4
Oregon,Eugene ,Average Low,34.2,34.8,37.1,39.5,43.5,47.6,51.4,51.1,47,41.2,37.6,33.8,41.6
Oregon,Eugene ,Average Precipitation,6.87,5.43,4.99,3.33,2.74,1.5,0.54,0.61,1.29,3.25,7.72,7.83,46.1
Oregon,Portland ,Average High,47,51.3,56.7,61.4,68,73.5,80.6,81.1,75.8,63.8,52.8,45.6,63.2
Oregon,Portland ,Average Low,35.8,36.3,39.6,43.1,48.6,53.6,57.8,58,53.1,46,40.5,35.2,45.7
Oregon,Portland ,Average Precipitation,4.88,3.66,3.68,2.73,2.47,1.7,0.65,0.67,1.47,3,5.63,5.49,36.03
Oregon,Salem ,Average High,47.7,51.6,56.5,61.1,67.8,73.9,82,82.4,76.8,64.1,52.6,46.2,63.6
Oregon,Salem ,Average Low,34.7,34.6,37.2,39.6,41.7,49.3,53.1,52.8,48.4,42.3,38.4,34,42.4
Oregon,Salem ,Average Precipitation,5.96,4.56,3.99,2.81,2.22,1.54,0.46,0.44,1.28,3.03,6.5,6.86,39.64
Pennsylvania,Philadelphia ,Average High,40.3,43.8,52.7,63.9,73.8,82.7,87.1,85.3,78,66.6,56,44.8,64.7
Pennsylvania,Philadelphia ,Average Low,25.6,27.7,34.4,44.1,54,63.8,69.2,67.9,60.3,48.4,39.2,30.1,47.2
Pennsylvania,Philadelphia ,Average Precipitation,3.03,2.65,3.79,3.56,3.71,3.43,4.35,3.5,3.78,3.18,2.99,3.56,41.53
Pennsylvania,Pittsburgh ,Average High,35.7,39.3,49.2,61.7,70.8,79.1,82.5,81.4,74.3,62.6,51.2,39.4,60.7
Pennsylvania,Pittsburgh ,Average Low,21.1,23,30,40.2,49.3,58.4,62.8,61.5,54,42.9,34.7,25.3,42
Pennsylvania,Pittsburgh ,Average Precipitation,2.7,2.39,2.95,3.11,3.95,4.3,3.83,3.48,3.11,2.29,3.23,2.85,38.19
Rhode Island,Providence ,Average High,37.4,40.3,47.8,58.6,68.4,77.5,82.8,81.4,74.2,63.3,53.2,42.3,60.6
Rhode Island,Providence ,Average Low,21,23.6,30,39.6,48.6,58.4,64.2,63.2,55.3,43.9,35.7,26.3,42.5
Rhode Island,Providence ,Average Precipitation,3.86,3.29,5.01,4.36,3.55,3.64,3.29,3.6,3.92,3.93,4.51,4.22,47.18
South Carolina,Charleston ,Average High,59,62.8,69.6,76.4,83.2,88.4,91.1,89.5,84.8,77.1,69.8,61.6,76.2
South Carolina,Charleston ,Average Low,37.5,40.6,46.7,53.3,61.8,69.6,73,72.3,67.2,56.8,47.5,40.1,55.6
South Carolina,Charleston ,Average Precipitation,3.71,2.96,3.71,2.91,3.02,5.65,6.53,7.15,6.1,3.75,2.43,3.11,51.03
South Carolina,Columbia ,Average High,56,60.3,68.2,76.3,83.8,90,92.7,90.7,85.2,76.1,67.3,58.2,75.4
South Carolina,Columbia ,Average Low,33.7,36.8,43,50.4,59.5,68.2,71.6,71,64.2,52.1,42.3,35.3,52.3
South Carolina,Columbia ,Average Precipitation,3.58,3.61,3.73,2.62,2.97,4.69,5.46,5.26,3.54,3.17,2.74,3.22,44.59
South Carolina,Greenville,Average High,52.4,56.6,64.5,72.8,80.2,87.5,90.3,88.6,82.2,72.8,63.5,54.1,72.2
South Carolina,Greenville,Average Low,32,34.9,41.2,48.3,57.2,65.8,69.4,68.7,61.8,50.4,41.3,34,50.5
South Carolina,Greenville,Average Precipitation,3.82,3.97,4.52,3.36,3.76,3.8,4.8,4.48,3.43,3.44,3.7,4.11,47.19
South Carolina,Hilton Head Island,Average High,61,63,69,71,82,87,90,88,85,78,70,63,76
South Carolina,Hilton Head Island,Average Low,38,40,47,54,62,69,72,71,68,57,48,41,56
South Carolina,Hilton Head Island,Average Precipitation,3.7,3.5,3.9,3,3.6,5.3,6.2,8.9,5.1,2.6,2.4,3.2,51.4
South Carolina,Myrtle Beach,Average High,55,58.4,64.4,72.2,79.4,85,87.9,87.1,83.6,75.9,67.9,58.6,73
South Carolina,Myrtle Beach,Average Low,34,36.4,42.1,49.9,58.9,67.4,71.3,69.7,63.8,52.6,43.4,36.1,52.1
South Carolina,Myrtle Beach,Average Precipitation,3.31,3.43,3.6,2.51,3.14,4.38,5.68,6.19,6.33,3.91,2.5,3.27,48.24
South Dakota,Rapid City ,Average High,37.1,39.6,47.9,58.3,67.8,77.8,87.1,86.4,75.6,61.4,47,36.9,60.4
South Dakota,Rapid City ,Average Low,12.9,15.1,22.9,31.8,42.1,51.2,58.1,56.6,46,34.1,22.1,13,33.9
South Dakota,Rapid City ,Average Precipitation,0.3,0.44,0.93,1.8,3.22,2.53,1.85,1.56,1.29,1.42,0.53,0.42,16.29
South Dakota,Sioux Falls ,Average High,26.4,31.3,43.1,58.5,69.8,79.2,84.1,81.7,73.2,59.6,42.5,28.5,56.5
South Dakota,Sioux Falls ,Average Low,6.9,11.7,22.7,34.4,46.2,56.4,61.9,59.6,49.3,36.1,22.7,9.8,34.8
South Dakota,Sioux Falls ,Average Precipitation,0.56,0.6,1.76,3.01,3.4,3.92,3.09,3.05,2.77,2.17,1.36,0.69,26.38
Tennessee,Chattanooga ,Average High,50.2,54.8,63.7,72.7,79.9,87.1,90.2,89.6,83.2,73.1,62.3,52.1,71.7
Tennessee,Chattanooga ,Average Low,30.7,34,40.7,48.3,57.3,65.8,69.7,69.2,61.8,49.9,40.2,33.1,50.1
Tennessee,Chattanooga ,Average Precipitation,4.91,4.84,4.98,3.99,4.1,4.05,4.91,3.48,4.04,3.28,5,4.9,52.48
Tennessee,Gatlinburg,Average High,48.4,52.8,61.3,70.3,77.1,83.2,85.6,84.8,79.7,70.8,61.4,50.8,68.8
Tennessee,Gatlinburg,Average Low,25.2,27.8,33.4,40.7,49.8,58.3,62.3,61.4,54.9,43.1,34,27.7,43.2
Tennessee,Gatlinburg,Average Precipitation,4.56,4.5,4.74,4.22,5.88,5.52,5.82,4.57,4.35,2.67,4.13,4.32,55.28
Tennessee,Knoxville ,Average High,47.3,52.3,61.4,70.3,78.1,85.4,88.2,87.8,81.8,71.2,60.4,49.8,69.6
Tennessee,Knoxville ,Average Low,29.2,32.4,39.2,47.3,56.2,64.7,68.7,67.8,60.4,48.5,39,31.7,48.8
Tennessee,Knoxville ,Average Precipitation,4.32,4.26,4.34,4.01,4.51,3.81,5.08,3.27,3.24,2.51,4.01,4.5,47.86
Tennessee,Memphis ,Average High,49.8,54.7,63.9,73,81.2,88.9,91.6,91.3,85.1,74.4,62.6,52.1,72.5
Tennessee,Memphis ,Average Low,32.6,36.3,44.1,52.9,62.2,70.3,73.8,72.7,65.2,53.8,43.7,35.1,53.6
Tennessee,Memphis ,Average Precipitation,3.98,4.39,5.16,5.5,5.25,3.63,4.59,2.88,3.09,3.98,5.49,5.74,53.68
Tennessee,Nashville ,Average High,46.9,51.8,61,70.5,78.2,86,89.3,89,82.4,71.7,60.3,49.5,69.8
Tennessee,Nashville ,Average Low,28.4,31.6,39,47.5,56.8,65.4,69.5,68.4,60.7,48.9,39.4,31.3,49
Tennessee,Nashville ,Average Precipitation,3.75,3.94,4.11,4,5.5,4.14,3.64,3.17,3.41,3.04,4.31,4.24,47.25
Texas,Amarillo,Average High,50.6,54.2,62.5,71.1,79.5,87.7,91.4,89.4,82.6,71.9,60,49.7,71
Texas,Amarillo,Average Low,23.4,26.4,33.3,41.6,51.8,61,65.2,64.2,56.4,44.7,32.5,24,43.8
Texas,Amarillo,Average Precipitation,0.72,0.56,1.39,1.4,2.29,3.16,2.84,2.91,1.92,1.66,0.8,0.71,20.36
Texas,Austin ,Average High,61.5,65.2,72.2,79.8,86.5,92.1,95.6,97,90.5,81.8,71.4,62.7,79.8
Texas,Austin ,Average Low,41.5,44.8,51.3,58.6,66.7,72.3,74.4,74.6,69.4,60.6,50.6,42.3,59
Texas,Austin ,Average Precipitation,2.22,2.02,2.76,2.09,4.44,4.33,1.88,2.35,2.99,3.88,2.96,2.4,34.32
Texas,Dallas ,Average High,56.8,60.8,68.7,76.7,84.2,91.6,96,96.4,88.7,78.5,67.1,57.5,77
Texas,Dallas ,Average Low,37.3,41.1,48.5,56.2,65.4,72.8,76.7,76.8,69,58.2,47.6,38.5,57.4
Texas,Dallas ,Average Precipitation,2.06,2.59,3.49,3.07,4.92,4.11,2.21,1.87,2.84,4.79,2.88,2.74,37.57
Texas,El Paso ,Average High,57.7,63.1,70.3,78.6,87.8,95.5,94.7,92.4,87.6,78.2,66.2,57.1,77.4
Texas,El Paso ,Average Low,32.5,37.1,42.9,50.7,60,68,70.9,69.7,63.3,52,40.1,32.5,51.6
Texas,El Paso ,Average Precipitation,0.4,0.46,0.26,0.23,0.47,0.94,1.55,2.01,1.51,0.61,0.49,0.78,9.71
Texas,Fort Worth ,Average High,54.1,60.1,68.3,75.9,83.2,91.1,95.4,94.8,87.7,77.9,65.1,56.5,75.8
Texas,Fort Worth ,Average Low,34,38.7,46.4,54,63,70.7,74.6,74,67.2,56.4,45.1,36.8,55.1
Texas,Fort Worth ,Average Precipitation,1.89,2.37,3.06,3.2,5.15,3.23,2.12,2.03,2.42,4.11,2.57,2.57,34.72
Texas,Houston ,Average High,62.9,66.3,73,79.6,86.3,91.4,93.7,94.5,89.7,82,72.5,64.3,79.7
Texas,Houston ,Average Low,43.2,46.5,52.5,59.4,67.6,73.5,75.1,74.8,69.8,60.9,52.1,44.6,60
Texas,Houston ,Average Precipitation,3.38,3.2,3.41,3.31,5.09,5.93,3.79,3.76,4.12,5.7,4.34,3.74,49.77
Texas,San Antonio ,Average High,62.9,66.9,73.5,80.5,87,92.3,94.6,96,90.3,82.2,72.2,64,80.3
Texas,San Antonio ,Average Low,40.7,44.2,50.8,58.1,66.8,72.6,74.6,74.7,69.1,60.1,50.1,41.7,58.7
Texas,San Antonio ,Average Precipitation,1.76,1.79,2.31,2.1,4.01,4.14,2.74,2.09,3.03,4.11,2.28,1.91,32.27
Utah,Park City,Average High,32.5,36.1,41.6,53,63.4,74.3,82.1,79.6,70.7,58.4,43.3,34.4,55.8
Utah,Park City,Average Low,11.8,15,19.9,27.9,36.3,43.1,50,48.8,40.5,31.7,21.3,14.5,30.1
Utah,Park City,Average Precipitation,2.71,2.36,2.24,1.71,1.46,1.13,1.26,1.6,1.16,1.57,1.69,2.28,21.17
Utah,Provo ,Average High,39.6,45.6,56.5,64.9,74.8,85.4,93.6,91.6,81.6,67.4,51.6,40,66.1
Utah,Provo ,Average Low,22.3,25.7,33.3,39.3,46.8,54,61,59.7,50.7,40.2,31.1,23.5,40.6
Utah,Provo ,Average Precipitation,1.88,1.85,1.92,2.01,2.08,1.2,0.75,0.99,1.45,2,1.68,1.94,19.75
Utah,Salt Lake City ,Average High,37.4,43.2,53.7,61.6,71.9,83,92.6,90.5,79.2,64.7,49.4,38,63.9
Utah,Salt Lake City ,Average Low,21.6,25.2,33.6,39.5,47.8,56.4,64.7,63.4,53,41.3,30.6,22.6,41.7
Utah,Salt Lake City ,Average Precipitation,1.25,1.25,1.79,1.99,1.95,0.98,0.61,0.69,1.21,1.52,1.45,1.41,16.1
Vermont,Burlington,Average High,27.2,30.6,40,54.7,67.2,76.3,80.9,79,70.4,57.2,45.5,33.2,55.3
Vermont,Burlington,Average Low,10.2,12.5,22,34.8,45.4,55.3,60.3,58.5,50.7,39.1,30.9,18.5,36.6
Vermont,Burlington,Average Precipitation,2.06,1.76,2.22,2.82,3.45,3.69,4.16,3.91,3.64,3.6,3.13,2.38,36.82
Virginia,Chesapeake ,Average High,49.7,52.7,60.6,70,77.5,85.2,88.7,86.7,81.1,72,62.9,53.2,70
Virginia,Chesapeake ,Average Low,30.3,32.5,38.6,47,55.9,65,69.5,67.9,61.8,50.4,41.5,33.5,49.5
